x, y, vx, vy, paddle_y
403, 303, 3, 3, 22
406, 306, 3, 3, 22
409, 309, 3, 3, 22
412, 312, 3, 3, 22
415, 315, 3, 3, 22
418, 318, 3, 3, 22
421, 321, 3, 3, 22
424, 324, 3, 3, 22
427, 327, 3, 3, 22
430, 330, 3, 3, 22
433, 333, 3, 3, 22
436, 336, 3, 3, 22
439, 339, 3, 3, 22
442, 342, 3, 3, 22
445, 345, 3, 3, 22
448, 348, 3, 3, 22
451, 351, 3, 3, 22
454, 354, 3, 3, 22
457, 357, 3, 3, 22
460, 360, 3, 3, 22
463, 363, 3, 3, 22
466, 366, 3, 3, 22
469, 369, 3, 3, 22
472, 372, 3, 3, 22
475, 375, 3, 3, 22
478, 378, 3, 3, 22
481, 381, 3, 3, 22
484, 384, 3, 3, 22
487, 387, 3, 3, 22
490, 390, 3, 3, 22
493, 393, 3, 3, 22
496, 396, 3, 3, 22
499, 399, 3, 3, 22
502, 402, 3, 3, 22
505, 405, 3, 3, 22
508, 408, 3, 3, 22
511, 411, 3, 3, 22
514, 414, 3, 3, 22
517, 417, 3, 3, 22
520, 420, 3, 3, 22
523, 423, 3, 3, 22
526, 426, 3, 3, 22
529, 429, 3, 3, 22
532, 432, 3, 3, 22
535, 435, 3, 3, 22
538, 438, 3, 3, 22
541, 441, 3, 3, 22
544, 444, 3, 3, 22
547, 447, 3, 3, 22
550, 450, 3, 3, 22
553, 453, 3, 3, 22
556, 456, 3, 3, 22
559, 459, 3, 3, 22
562, 462, 3, 3, 22
565, 465, 3, 3, 22
568, 468, 3, 3, 22
571, 471, 3, 3, 22
574, 474, 3, 3, 22
577, 477, 3, 3, 22
580, 480, 3, 3, 22
583, 483, 3, 3, 22
586, 486, 3, 3, 22
589, 489, 3, 3, 22
592, 492, 3, 3, 22
595, 495, 3, 3, 22
598, 498, 3, 3, 22
601, 501, 3, 3, 22
604, 504, 3, 3, 22
607, 507, 3, 3, 22
610, 510, 3, 3, 22
613, 513, 3, 3, 22
616, 516, 3, 3, 22
619, 519, 3, 3, 22
622, 522, 3, 3, 22
625, 525, 3, 3, 22
628, 528, 3, 3, 22
631, 531, 3, 3, 22
634, 534, 3, 3, 22
637, 537, 3, 3, 22
640, 540, 3, 3, 22
643, 543, 3, 3, 22
646, 546, 3, 3, 22
649, 549, 3, 3, 22
652, 552, 3, 3, 22
655, 555, 3, 3, 22
658, 558, 3, 3, 22
661, 561, 3, 3, 22
664, 564, 3, 3, 22
667, 567, 3, 3, 22
670, 570, 3, 3, 22
673, 573, 3, 3, 22
676, 576, 3, 3, 22
679, 579, 3, 3, 22
682, 582, 3, 3, 22
685, 579, 3, -3, 22
688, 576, 3, -3, 22
691, 573, 3, -3, 22
694, 570, 3, -3, 22
